model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,0.9200941124514852,0.548028840096135,0.10322743243749909,0.1737288267840292,0.8506837996307585,0.3477470518749937
Logistic Regression - Balanced,0.752863958986908,0.21988084692877627,0.7994198495204051,0.3448944765275342,0.8507742691421694,0.3458582800418519
Random Forest,0.9193568826715649,0.6511722133735715,0.01939268454007263,0.03765111039722665,0.8472384009173449,0.34215814454560317
