metric,mean,std
Accuracy,0.9200941124514852,0.0001236785302358649
Precision,0.548028840096135,0.004306199392812894
Recall,0.10322743243749909,0.0006135030443209115
F1,0.1737288267840292,0.0009276695113536917
ROC-AUC,0.8506837996307585,0.0009168712403574239
PR-AUC,0.3477470518749937,0.0022535170206469082
