model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Random Forest,0.850144441338179,0.02716473632955776,0.8593167630031532,0.043490408192923505,0.877055103884372,0.04590599105070681,0.8662686213916437,0.02285390634616227,0.9286654257114962,0.027963236792669214
Logistic Regression,0.8447115832634424,0.02152239236752515,0.8568328985592413,0.038225522517881916,0.8670280036133693,0.02372549997557872,0.8609539134645319,0.01562574625685488,0.9255236683420967,0.030701369182646848
Decision Tree,0.8160469667318981,0.03716884468217509,0.8429451714157598,0.043113773945367626,0.8227642276422765,0.04119021073868255,0.8319620915423481,0.03331514216181253,0.815321507760532,0.038194325619337374
