is_anomaly,size,heart_disease_pct,avg_age,avg_resting_bp,avg_cholesterol,avg_max_hr,avg_oldpeak,exercise_angina_pct
False,697,55.67,53.6,132.42,245.7,136.47,0.83,40.6
True,37,48.65,58.51,141.51,262.55,134.57,1.5,45.95
