k,inertia,silhouette_score
2,7194.745347167058,0.19023585959332737
3,6474.537936814518,0.1690075324132528
4,5898.89732878715,0.16390941815788612
5,5590.344792579422,0.16024142591744792
6,5373.456845153105,0.1337279879307474
7,5147.159597386106,0.1222633848403009
8,4987.328542083165,0.1219834252467178
